,conc1_mean
0,46.9
1,200.0
2,0.001
3,15.9
4,0.03
5,19.919
6,3.77
7,1.3
8,50.0
9,0.0008399999999999999
10,0.0066
11,52.5
12,100.27
13,70.23
14,37.22
15,0.39
16,0.15
17,0.74
18,0.39
19,0.58
20,0.13
21,0.016
22,87.0
23,200.0
24,0.0073799999999999985
25,25.9
26,0.0104
27,0.001
28,0.0044
29,2.17
30,2.78
31,0.0489
32,25.0
33,0.0008399999999999999
34,0.084
35,14.0
36,0.7
37,23.0
38,1.062
39,0.67
40,0.1803
41,8.3
42,118.0
43,0.02
44,84.0
45,0.00289
46,0.237
47,6.0
48,0.003
49,31.2
50,0.53
51,14.2
52,30.33
53,31.86
54,39.58
55,30.33
56,34.12
57,47.25
58,3.16
59,0.45
60,3.06
61,3.2
62,0.13
63,3.42
64,73.0
65,7.94
66,19.0
67,5.0
68,0.016
69,383.45
70,0.7
71,0.95
72,19.254
73,8.432
74,6.363
75,12.7736
76,3.39
77,69.42
78,13.5
79,0.067
80,51.0
81,49.7
82,0.01177
83,1.2
84,2.0
85,0.047200000000000006
86,405.0
87,27.0
88,1.05
89,4.936
90,25.0
91,0.06
92,0.0089
93,12.0
94,65.0
95,0.34
96,0.006
97,15.3
98,0.0006
99,19.7
100,50.0
101,0.09
102,40.0
103,12.6
104,1.48
105,0.0009
106,1.9
107,0.12
108,2.5
109,5.0
110,0.00091
111,100.0
112,39.8
113,7.7
114,220.0
115,2.5
116,0.0102
117,16.62
118,2.9
119,0.15
120,0.57
121,114.0
122,46.8
123,0.00038
124,0.53
125,132.0
126,1.0
127,560.0
128,60.0
129,0.011
130,8.5
131,26.5
132,114.8
133,5.08
134,0.00091
135,178.0
136,22.0
137,0.0014
138,1.5
139,0.002
140,0.008
141,0.1
142,28.7
143,0.62
144,31.3
145,29.7
146,10.85
147,0.00047
148,32.0
149,5.02
150,0.58
151,8.0
152,6.021
153,4.61
154,9.151
155,14.77
156,0.35
157,6.8
158,79.3
159,18.0
160,0.0058
161,39.8
162,15.5
163,0.00128
164,0.00058
165,1.7
166,32.5
167,0.00058
168,1.3
169,0.075
170,2.8
171,300.0
172,4.0
173,2.2
174,0.0078
175,0.0122
176,0.0007
177,0.31
178,0.0034
179,0.07
180,1.52
181,3.65
182,0.09
183,4.0
184,0.002
185,4.56
186,0.00545
187,0.0056
188,14.3
189,0.0009
190,0.004
191,0.36
192,0.0035
193,32.2
194,1.12
195,6.5
196,0.01423
197,35.0
198,0.035
199,50.0
200,1.212
201,0.0013
202,1.774
203,1.51
204,1.915
205,2.5980000000000003
206,12.75
207,0.001
208,0.0009599999999999999
209,0.003
210,9.0
211,0.00058
212,59.0
213,401.31
214,434.74
